Player:Date:Value
Adrien Truffert:2024-12-01:18000000.0
Adrià Carmona:2021-12-01:150000.0
Adrián Embarba:2024-12-01:1827666.67
Agustín Marchesín:2024-12-01:832000.0
Agustín Rogel:2023-12-01:1760000.0
Agustín Álvarez:2024-12-01:5140000.0
Aihen Muñoz:2024-12-01:8000000.0
Aimar Oroz:2024-12-01:15000000.0
Ainsley Maitland-Niles:2024-12-01:8553333.33
Aitor Fernández:2024-12-01:1848666.67
Aitor Paredes:2024-12-01:20716666.67
Aitor Ruibal:2024-12-01:3640000.0
Ajdin Hrusti:2024-11-01:593200.0
Akim Zedadka:2024-12-01:2000000.0
Alan Do Marcolino:2024-12-01:200000.0
Alan Virginius:2024-12-01:3500000.0
Alassane Plea:2024-11-01:7128000.0
Alban Lafont:2024-12-01:9190000.0
Albert Sambi Lokonga:2024-11-01:14940000.0
Alberth Elis:2024-04-01:2075000.0
Alberto Grassi:2024-12-01:1800000.0
Alberto Moreno:2024-12-01:1822000.0
Alberto Perea:2024-11-01:478666.67
Alberto del Moral:2023-12-01:981000.0
Albin Ekdal:2023-12-01:800000.0
Aleix García:2024-12-01:24966666.67
Aleix Vidal:2024-04-01:1074607.14
Alejandro Alfaro:2024-04-01:40000.0
Alejandro Balde:2024-12-01:40133333.33
Alejandro Cantero:2024-04-01:1343000.0
Alejandro Garnacho:2024-11-01:43725000.0
Alejandro Pozuelo:2024-04-01:2800000.0
Aleksa Terzic:2024-03-01:3664523.81
Aleksandar Mitrovi:2024-12-01:28000000.0
Aleksandr Golovin:2024-12-01:30000000.0
Aleksey Miranchuk:2024-12-01:9833333.33
Alessandro Bastoni:2024-12-01:69966666.67
Alessandro Bianco:2024-12-01:2435666.67
Alessandro Buongiorno:2024-12-01:34063333.33
Alessandro Cortinovis:2024-12-01:413333.33
Alessandro Florenzi:2024-12-01:2000000.0
Alessandro Tuia:2023-12-01:421857.14
Alessandro Zanoli:2024-12-01:5105000.0
Alessio Romagnoli:2024-12-01:15000000.0
Alessio Zerbin:2024-12-01:3950000.0
Alex Bangura:2023-12-01:900000.0
Alex Ferrari:2023-12-01:1034285.71
Alex Iwobi:2024-11-01:25318000.0
Alex Král:2024-11-01:5310000.0
Alex Meret:2024-12-01:12295000.0
Alex Oxlade-Chamberlain:2024-11-01:4476666.67
Alex Sandro:2024-12-01:2000000.0
Alex Telles:2024-04-01:7058750.0
Alexander Callens:2024-11-01:1233000.0
Alexander Djiku:2024-11-01:8991666.67
Alexander Hack:2024-04-01:2255500.0
Alexander Isak:2024-11-01:74440000.0
Alexander Meyer:2024-11-01:800000.0
Alexander Nübel:2024-11-01:11736000.0
Alexander Schwolow:2024-11-01:718400.0
Alexander Sørloth:2024-12-01:23090000.0
Alexandre Coeff:2024-04-01:508545.46
Alexandre Lacazette:2024-12-01:9088333.33
Alexis Beka Beka:2024-12-01:1615000.0
Alexis Blin:2024-12-01:2938333.33
Alexis Claude-Maurice:2024-12-01:3544166.67
Alexis Flips:2024-11-01:3011666.67
Alexis Mac Allister:2024-11-01:73466666.67
Alexis Saelemaekers:2024-12-01:11836666.67
Alexis Sánchez:2024-12-01:2500000.0
Alexis Tibidi:2024-06-01:1735000.0
Alfonso Espino:2024-12-01:2417666.67
Alfonso Pedraza:2024-12-01:5653333.33
Alfred Duncan:2024-12-01:4050000.0
Alidu Seidu:2024-12-01:8980000.0
Alisson:2024-11-01:28448000.0
Allan Saint-Maximin:2024-12-01:18170000.0
Almamy Touré:2024-04-01:2067500.0
Alou Kuol:2023-12-01:300000.0
Alphonse Areola:2024-11-01:10000000.0
Alphonso Davies:2024-11-01:52750000.0
Amadou Ba-Sy:2024-12-01:300000.0
Amadou Haidara:2024-11-01:19550000.0
Amadou Onana:2024-11-01:50000000.0
Amin Sarr:2024-11-01:4000000.0
Amine Adli:2024-11-01:29600000.0
Amine Gouiri:2024-12-01:25215000.0
Amine Harit:2024-12-01:15000000.0
Amine Salama:2024-12-01:2115000.0
Amir Rrahmani:2024-12-01:15458333.33
Amos Pieper:2024-11-01:4110000.0
Ander Barrenetxea:2024-12-01:20000000.0
Ander Capa:2023-12-01:1822285.72
Ander Guevara:2024-12-01:4995833.33
Ander Herrera:2024-12-01:2043333.33
Ander Martín:2023-12-01:410166.67
Andoni Gorosabel:2024-12-01:4750000.0
Andrea Barberis:2023-12-01:821333.33
Andrea Belotti:2024-12-01:5061666.67
Andrea Cambiaso:2024-12-01:24900000.0
Andrea Carboni:2024-12-01:4000000.0
Andrea Colpani:2024-12-01:17780000.0
Andrea Consigli:2024-12-01:815666.67
Andrea Conti:2023-12-01:519666.67
Andrea Petagna:2024-12-01:4028000.0
Andrea Pinamonti:2024-12-01:15000000.0
Andrea Ranocchia:2022-12-01:818666.67
Andreas Bruus:2024-04-01:1573750.0
Andreas Christensen:2024-12-01:40000000.0
Andreas Hanche-Olsen:2024-11-01:8823000.0
Andreas Ivan:2023-12-01:126375.0
Andreas Pereira:2024-11-01:19996666.67
