index,Player,Goals,Shots,SoT,G/Sh,G/SoT,ShoDist,GCA,SCA,Off,PKwon,Assists,ScaPassLive,Car3rd,ScaFld,ToAtt,ToSuc,Carries,CarTotDist,CarPrgDist,CPA,CarMis,CarDis,PasTotCmp,PasAss,Pas3rd,Crs,PasCmp,PasOff,PasBlocks,ScaPassDead,ScaDrib,ScaSh,GcaPassDead,GcaDrib,GcaSh,GcaFld,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,Overall,PasTotDist,PasTotPrgDist,TklDriPast,Blocks,BlkSh,Int,Tkl+Int,Recov,AerWon,AerLost,CrdY,CrdR,Fls,Clr,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,GcaPassLive,PasTotCmp%,Fld,Pos
2,Mitchell van Bergen,0.0,0.24300000000000002,0.516,0.0,0.0,0.722007722007722,0.5512820512820512,0.48741007194244607,0.215,1.0,0.4117647058823529,0.47938144329896915,0.31400000000000006,0.12612612612612611,0.31400000000000006,0.11833333333333332,0.24714285714285716,0.26989010989010986,0.1965151515151515,0.15700000000000003,0.18600000000000003,0.043000000000000003,0.0935828877005348,0.5585585585585586,0.2171253822629969,0.7626404494382023,0.0935828877005348,0.0,0.0715,0.22656249999999997,0.16867469879518077,0.11200000000000002,0.0,0.0,0.8235294117647058,0.28,0.4430051813471503,0.284,0.29831932773109243,0.284,0.3186813186813186,0.3722943722943723,0.5,0.429,34.381983476402674,,,,,,,,,,,,,,,,,,,,,,,FWDF
28,Darlin Yongwa,0.0,0.25,0.5,0.0,0.0,0.9999999999999999,0.0,0.6744604316546763,0.0,0.0,0.0,0.9664948453608249,0.125,0.0,0.75,0.41666666666666663,0.3214285714285714,0.27747252747252743,0.12121212121212122,0.125,0.375,0.125,0.032085561497326276,0.7507507507507507,0.0,0.351123595505618,0.032085561497326276,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6476683937823835,1.0,0.5252100840336135,0.5,0.0,0.5411255411255411,0.9375,0.33299999999999996,33.18335630584833,,,,,,,,,,,,,,,,,,,,,,,FWDF
0,Ander Barrenetxea,0.14285714285714285,0.095,0.38,1.0,0.5,0.42857142857142855,0.0,0.08633093525179857,0.0,0.0,0.0,0.12371134020618557,0.19,0.0,0.476,0.2383333333333333,0.14285714285714285,0.15593406593406595,0.07727272727272727,0.048,0.286,0.095,0.31283422459893057,0.0,0.14678899082568805,0.0,0.31283422459893057,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7409326424870467,0.572,1.0,0.192,0.0,0.6190476190476191,0.9525,0.375,32.83022564620005,,,,,,,,,,,,,,,,,,,,,,,FWDF
16,Dwight McNeil,0.2857142857142857,0.119,0.072,0.3,1.0,0.7297297297297296,0.4743589743589743,0.6600719424460433,0.045,0.0,0.5294117647058822,0.5438144329896908,0.13799999999999998,0.08108108108108107,0.34900000000000003,0.22999999999999998,0.22714285714285715,0.18670329670329672,0.09893939393939394,0.046000000000000006,0.202,0.06899999999999999,0.3716577540106952,0.4144144144144144,0.4770642201834862,0.8890449438202248,0.3716577540106952,0.08108108108108107,0.08700000000000001,1.0,0.21686746987951808,0.0,0.9999999999999999,0.0,0.0,0.0,0.7124352331606219,0.7320000000000001,0.6554621848739496,0.22000000000000003,0.7032967032967032,0.39826839826839827,0.4125,0.556,32.73293555675888,,,,,,,,,,,,,,,,,,,,,,,FWDF
24,Christian Pulisic,0.14285714285714285,0.221,0.236,0.14,0.25,0.6486486486486487,0.5641025641025641,0.5287769784172662,0.0,0.0,0.4411764705882352,0.6829896907216495,0.294,0.0,0.5,0.245,0.3271428571428571,0.2595604395604395,0.18757575757575756,0.16200000000000003,0.338,0.044000000000000004,0.3903743315508021,0.4864864864864865,0.5382262996941896,0.14466292134831463,0.3903743315508021,0.2612612612612612,0.044000000000000004,0.0,0.0,0.23199999999999998,0.0,0.0,0.0,0.0,0.41968911917098456,0.35200000000000004,0.18487394957983194,0.35200000000000004,0.3186813186813186,0.19047619047619047,0.185,0.6,30.158493817204757,,,,,,,,,,,,,,,,,,,,,,,FWDF
10,Thomas Kastanaras,0.0,0.25,0.5,0.0,0.0,0.5289575289575289,0.0,0.4496402877697842,0.0,0.0,0.0,0.32216494845360827,0.0,0.0,0.125,0.0,0.12571428571428572,0.05087912087912087,0.04363636363636364,0.0,0.625,0.0,0.1310160427807487,0.37537537537537535,0.764525993883792,0.175561797752809,0.1310160427807487,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.667328775640726,,,,,,,,,,,,,,,,,,,,,,,FWDF
13,Giorgos Kyriakopoulos,0.14285714285714285,0.15300000000000002,0.188,0.16,0.25,0.5945945945945946,0.4487179487179486,0.5503597122302158,0.0,0.8571428571428571,0.3529411764705882,0.63659793814433,0.17600000000000002,0.10810810810810809,0.365,0.27499999999999997,0.3814285714285715,0.23142857142857143,0.1890909090909091,0.059,0.165,0.10600000000000001,0.606951871657754,0.4954954954954955,0.8287461773700305,0.6446629213483146,0.606951871657754,0.31531531531531526,0.053000000000000005,0.0,0.2891566265060241,0.096,0.0,0.0,0.7058823529411764,0.0,0.639896373056995,0.376,0.3445378151260504,0.42400000000000004,0.6483516483516483,0.5108225108225108,0.4125,0.7140000000000001,28.81888984711661,,,,,,,,,,,,,,,,,,,,,,,FW
13,Giorgos Kyriakopoulos,0.14285714285714285,0.15300000000000002,0.188,0.16,0.25,0.5945945945945946,0.4487179487179486,0.5503597122302158,0.0,0.8571428571428571,0.3529411764705882,0.63659793814433,0.17600000000000002,0.10810810810810809,0.365,0.27499999999999997,0.3814285714285715,0.23142857142857143,0.1890909090909091,0.059,0.165,0.10600000000000001,0.606951871657754,0.4954954954954955,0.8287461773700305,0.6446629213483146,0.606951871657754,0.31531531531531526,0.053000000000000005,0.0,0.2891566265060241,0.096,0.0,0.0,0.7058823529411764,0.0,0.639896373056995,0.376,0.3445378151260504,0.42400000000000004,0.6483516483516483,0.5108225108225108,0.4125,0.7140000000000001,28.81888984711661,,,,,,,,,,,,,,,,,,,,,,,FWDF
27,Djed Spence,0.0,1.0,0.0,0.0,0.0,0.3436293436293436,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.278976613386153,,,,,,,,,,,,,,,,,,,,,,,FWDF
27,Djed Spence,0.0,1.0,0.0,0.0,0.0,0.3436293436293436,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.278976613386153,,,,,,,,,,,,,,,,,,,,,,,DF
